siteID,date,dailyMeanST,dailyMinST,dailyMaxST,timeMinST,timeMaxST
2400469,2021-07-01,18.981,18.39,19.77,2021-07-01T10:30:00Z,2021-07-01T00:00:00Z
2400469,2021-07-02,19.396,17.701,21.795,2021-07-02T08:00:00Z,2021-07-02T17:00:00Z
2400469,2021-07-03,19.921,17.915,22.393,2021-07-03T08:30:00Z,2021-07-03T17:00:00Z
2400469,2021-07-04,20.41,17.938,22.992,2021-07-04T09:00:00Z,2021-07-04T16:30:00Z
2400469,2021-07-05,20.306,17.962,22.896,2021-07-05T08:00:00Z,2021-07-05T16:00:00Z
2400469,2021-07-06,19.905,17.058,22.681,2021-07-06T08:30:00Z,2021-07-06T16:30:00Z
2400469,2021-07-07,19.023,18.105,20.698,2021-07-07T23:30:00Z,2021-07-07T00:00:00Z
2400469,2021-07-08,17.904,16.439,20.174,2021-07-08T08:30:00Z,2021-07-08T17:00:00Z
2400469,2021-07-09,18.613,15.629,21.819,2021-07-09T08:30:00Z,2021-07-09T17:00:00Z
2400469,2021-07-10,20.14,17.439,23.16,2021-07-10T08:00:00Z,2021-07-10T16:30:00Z
2400469,2021-07-11,20.029,17.558,22.753,2021-07-11T08:30:00Z,2021-07-11T16:30:00Z
2400469,2021-07-12,20.15,17.582,22.896,2021-07-12T08:30:00Z,2021-07-12T16:30:00Z
2400469,2021-07-13,19.698,17.558,22.202,2021-07-13T09:30:00Z,2021-07-13T17:00:00Z
2400469,2021-07-14,19.662,17.463,22.226,2021-07-14T08:30:00Z,2021-07-14T17:00:00Z
2400469,2021-07-15,19.552,17.534,22.082,2021-07-15T09:30:00Z,2021-07-15T16:30:00Z
2400469,2021-07-16,19.1,16.868,21.772,2021-07-16T09:00:00Z,2021-07-16T16:30:00Z
2400469,2021-07-17,19.196,16.534,22.13,2021-07-17T08:30:00Z,2021-07-17T16:30:00Z
2400469,2021-07-18,19.614,16.915,22.729,2021-07-18T08:30:00Z,2021-07-18T16:30:00Z
2400469,2021-07-19,19.684,17.011,22.657,2021-07-19T08:30:00Z,2021-07-19T17:00:00Z
2400469,2021-07-20,19.576,17.748,22.106,2021-07-20T10:00:00Z,2021-07-20T17:00:00Z
2400469,2021-07-21,18.597,17.225,20.007,2021-07-21T09:00:00Z,2021-07-21T17:00:00Z
2400469,2021-07-22,17.727,15.008,20.889,2021-07-22T08:30:00Z,2021-07-22T17:00:00Z
2400469,2021-07-23,18.192,15.438,21.27,2021-07-23T08:30:00Z,2021-07-23T16:30:00Z
2400469,2021-07-24,19.162,16.249,22.489,2021-07-24T08:30:00Z,2021-07-24T17:00:00Z
2400469,2021-07-25,20.347,17.629,23.569,2021-07-25T08:30:00Z,2021-07-25T17:00:00Z
2400469,2021-07-26,20.597,17.938,23.617,2021-07-26T08:30:00Z,2021-07-26T17:00:00Z
2400469,2021-07-27,20.351,18.438,22.585,2021-07-27T08:30:00Z,2021-07-27T17:00:00Z
2400469,2021-07-28,20.5,17.867,23.617,2021-07-28T08:30:00Z,2021-07-28T17:00:00Z
2400469,2021-07-29,21.078,18.39,24.122,2021-07-29T08:30:00Z,2021-07-29T17:00:00Z
2400469,2021-07-30,20.5,19.246,21.246,2021-07-30T08:30:00Z,2021-07-30T00:00:00Z
2400469,2021-07-31,20.307,19.579,20.913,2021-07-31T08:00:00Z,2021-07-31T19:00:00Z
2400469,2021-08-01,21.208,19.056,24.219,2021-08-01T08:00:00Z,2021-08-01T17:00:00Z
2400469,2021-08-02,21.51,19.056,24.171,2021-08-02T08:30:00Z,2021-08-02T17:00:00Z
2400469,2021-08-03,21.958,20.031,24.339,2021-08-03T08:30:00Z,2021-08-03T17:00:00Z
2400469,2021-08-04,21.525,19.08,24.291,2021-08-04T08:30:00Z,2021-08-04T17:00:00Z
2400469,2021-08-05,20.847,19.484,22.058,2021-08-05T08:30:00Z,2021-08-05T16:00:00Z
2400469,2021-08-06,20.448,19.46,21.676,2021-08-06T08:30:00Z,2021-08-06T18:00:00Z
2400469,2021-08-07,20.76,18.794,22.968,2021-08-07T08:30:00Z,2021-08-07T15:30:00Z
2400469,2021-08-08,19.446,18.176,20.793,2021-08-08T23:30:00Z,2021-08-08T00:00:00Z
2400469,2021-08-09,18.477,16.153,21.437,2021-08-09T08:00:00Z,2021-08-09T17:00:00Z
