"lat","lon","siteID"
45.38392,-122.44833,"20941701"
45.20545,-122.22673,"20012624"
45.19813,-122.22375,"20941702"
45.237,-122.24727,"10944386"
45.38262,-122.44763,"10808789"
45.40452,-122.46305,"20739670"
45.38967,-122.49387,"20739665"
45.3576,-122.4762,"20739666"
45.29863,-122.40907,"20739679"
45.2515,-122.36735,"20739662"
45.19,-122.33108,"20739664"
45.20433,-122.33047,"20739661"
45.35368,-122.30155,"10808788"
45.37425,-122.32695,"9946236"
45.39362,-122.41055,"10808805"
45.39357,-122.41122,"10808801"
45.41688,-122.40823,"20606618"
45.40405,-122.36005,"10808797"
45.29243,-122.08213,"20941691"
45.29433,-122.25647,"20745666"
45.32375,-122.29865,"20745674"
45.3409,-122.33817,"2400469"
45.35093,-122.38197,"20941693"
45.33218,-122.34935,"20941696"
45.26438,-122.23902,"2400475"
45.30848,-122.0847,"2400472"
45.32027,-122.24215,"10808799"
45.32705,-122.28133,"20012617"
45.328,-122.28082,"2400473"
45.30138,-122.23058,"21080890"
45.30423,-122.24747,"10745923"
45.3377,-122.14853,"10951006"
45.2532,-122.29789,"20820418"
45.31876,-122.38411,"20733156"
45.35086,-122.38532,"20733159"
45.27749,-122.19567,"20745675"
45.29881,-122.1118,"10361312"
45.0306,-122.06197,"20151806"
44.89618,-122.00661,"10389421"
44.98516,-122.06679,"10361311"
45.15913,-122.11713,"20151803"
45.1572,-122.15219,"20860458"
45.15071,-122.15329,"20860456"
45.06711,-122.16504,"10598081"
44.97007,-121.87671,"10332826"
44.90586,-121.89316,"10547224"
45.11489,-122.07464,"10933321"
44.87895,-121.88642,"10933324"
45.03072,-122.06182,"10933332"
44.85973,-121.80718,"10933334"
44.92511,-121.8964,"10933343"
44.97142,-121.85592,"10933344"
44.87796,-121.88695,"10933345"
44.9751,-121.8785,"10933349"
44.93858,-121.89423,"10933351"
45.04517,-122.06293,"10933352"
44.94767,-121.86913,"20054489"
45.02215,-121.97869,"20054494"
44.98289,-121.88334,"20054497"
44.9828,-121.88249,"20054501"
44.99447,-121.88785,"20054506"
44.94611,-121.88932,"20054507"
45.15943,-122.11617,"20054509"
45.0167,-121.92119,"20054510"
44.87382,-121.85124,"20054512"
44.9062,-121.89251,"20054516"
44.97084,-121.87606,"20054518"
44.8419,-121.91357,"20539413"
45.412205,-122.505561,"20201001A"
45.16722,-122.155,"USGS 1"
45.3,-122.35278,"USGS 2"
45.14778,-122.15194,"USGS 4"
44.886616596029,-121.883197021033,"ORCUB001IN02"
